user,comment,time,like
绿油油旷野吸氧,我终于成为公务员了[流泪],2025-07-09 15:16:06,0
我是情书写给狐白,一定会上岸[憨笑],2025-07-09 15:01:06,1
淮南落雨,考上了吗,2025-07-09 14:39:40,0
心期过涧,关关难过关关过,2025-07-09 13:49:39,0
-你说愿我无忧_,今天中考查分  加油 祝我上岸[西西奸笑],2025-07-09 12:52:35,1
吃嗯陳_Ych,加油！,2025-07-09 12:34:57,0
NexL-,我是啥,2025-07-09 11:47:59,0
早餐吃面条-,[开门红],2025-07-09 11:29:53,0
Isitwhatyouwant,怎么样啊，兄弟,2025-07-09 10:48:15,0
虔溺,怎么样啊,2025-07-09 10:10:36,0
生活远比戏剧更荒诞与沉重,关关是难关 但我们关关过,2025-07-09 10:08:57,0
章Cheryl,中考上岸！   高分[祈祷],2025-07-09 09:58:57,1
Jauquely,中考加油！,2025-07-09 09:56:17,1
zyt116_227咖啡,关关是难关但我们关关过[小红花],2025-07-09 09:29:19,1
耿予礼,加油,2025-07-09 09:27:07,0
虚无会常存,考上了吗,2025-07-09 09:15:34,0
Typing-_-_,幸福就在下一个转角！2025.7.4终于听到现场版了！,2025-07-09 08:53:07,0
总是很呆萌,"文光破晓天门开，墨香引路入学海。
麒麟驮书踏云来，魁星执笔把名开。
文涛破浪墨挥剑劈霾，书山踏碎青云台。
德作舟来才作柴，寒窗燃尽见花开。
锦鲤乘风跃金榜，蟾宫折桂好运来。
中考考出理想成绩[拜][拜][拜][拜][拜][拜]",2025-07-09 08:22:46,1
如果敏感是天赋_DYZ7,幸福就在下一个转角,2025-07-09 07:56:29,0
楚丶越,加油鸭[大笑],2025-07-09 07:48:59,0
心有雨难放晴_7,中考上岸！查分顺利！高分高分！,2025-07-09 06:48:49,0
姐弟骨,希望可以一直活下去,2025-07-09 05:54:07,0
姐弟骨,加油呀宝宝,2025-07-09 05:53:38,0
姐弟骨,想哭,2025-07-09 05:53:25,0
刃宝o,中考上岸,2025-07-09 05:24:44,0
宅男校草,加油加油,2025-07-09 05:07:47,0
宅男校草,今天出分了 我要考入理想的高中,2025-07-09 05:07:31,1
我来自浩瀚宇宙无敌最亮眼的星星,啊,2025-07-09 05:00:19,0
醉她诚,加油加油,2025-07-09 04:22:49,0
秋天专辑,事在人为不必拿缘分二字作托词,2025-07-09 04:19:12,0
赠予诀,怎么样,2025-07-09 02:44:37,0
卿卿_mOvF,"你最近過的好不好
",2025-07-09 02:41:49,0
手写的-从前m,那是一天晚自习下课，她把我叫到一个没人的墙角，拿着一张便利贴，上面写着加油的歌词，她边看歌词边唱了起来，当时我还没听过加油，但是我看她唱的时候眼睛里就像是有光一样，我也忍不住的去拥抱了她。这首加油我从那时起一直喜欢到现在[流泪]我也不知道喜欢的是加油还是记忆里的她[流泪],2025-07-09 01:10:10,0
98早莓酱,看看？,2025-07-09 00:44:36,0
雨季无敌力量金属,马上会考就要查分了 好紧张[悲伤],2025-07-09 00:31:16,0
馨7an,关关是难关 但我们关关过,2025-07-09 00:28:45,1
_乐忧劉,安稳一点还是自由一点,2025-07-09 00:16:30,0
Ayiz-,关关难过关关过,2025-07-09 00:16:19,0
回头是小狗0_0,今天10点查成绩 一定要上岸啊！！[拜][拜][拜],2025-07-09 00:12:37,0
77ranR,"祝大家天天开心
",2025-07-08 23:39:56,0
李同志在这,早日康复！,2025-07-08 23:32:12,0
hellooo793,"中考上岸
",2025-07-08 23:28:49,0
一万个悲伤1,考上了吗,2025-07-08 22:48:35,0
你恰若仙境美景,关关是难关 但我会关关过,2025-07-08 22:47:27,0
vanilla牛奶,你考上了吗？[可爱],2025-07-08 22:08:37,0
Riooue,高考失利了，有一起聊天抱团取暖的宝子嘛[流泪][流泪][流泪],2025-07-08 22:05:36,0
1-3-5-7-2-4-6-8,肿么样啦,2025-07-08 21:45:17,0
寒酸的AD钙,加油 你一定能考上理想高中！,2025-07-08 21:36:33,1
番番日记,"怎么样
",2025-07-08 21:16:26,1
八月街市,高中 加油！,2025-07-08 21:09:53,0
莫名其妙的言狗子2,工作好心累,2025-07-08 20:29:50,1
Moon墨小白,7月4日是我第一次参加林俊杰的演唱会 在大型考试之前我都会听这首歌给我自己加油 我自己都超级喜欢这首歌 没想到第一次就在现场听到啦！非常开心,2025-07-08 18:36:09,1
水蜜桃桃ii_,"7了唉
",2025-07-08 18:13:43,0
秋七幸-,关关是难关，但我们关关过，未来是谁和我一起相关过呢,2025-07-08 17:24:02,0
街角de向阳花屋,加油,2025-07-08 16:14:45,1
离开落星田的脆弱小奶猫,哈哈哈,2025-07-08 15:22:42,0
trouble-4U,加油！,2025-07-08 15:06:19,1
Arno-Zhu,nb,2025-07-08 14:51:40,0
7_再睡365天,一定可以留在10班 一定可以进前40 一定会取得好成绩的🍀🍀🍀,2025-07-08 14:27:40,1
Qi_qi53,一定上岸,2025-07-08 14:02:00,1
聪哥vvds,我也是,2025-07-08 13:52:34,0
我真的好困_4,明天出中考成绩一定会上岸的！,2025-07-08 13:03:43,2
海天一色8868,考最后一科历史，上64![逢考必过][逢考必过][逢考必过][加油呀][加油呀][加油呀],2025-07-08 12:56:19,2
J_如果忧郁是种天赋,中考740+,2025-07-08 10:49:24,2
一粒v,恭喜呀,2025-07-08 10:45:05,0
凌星愿,Hello，你成功了吗,2025-07-08 10:41:36,0
闻留雪,"顺心而为，随意而动
一切加油！",2025-07-08 10:26:05,0
多看帅哥多喝水,我终于上岸了 在去体检的路上 [多多大笑],2025-07-08 09:50:41,3
我心淇水悠悠,加油 你共我,2025-07-08 09:39:01,1
kianboo,好幸福！7.4在北京鸟巢听到啦[色],2025-07-08 08:51:12,2
只和寂寞做朋友哇,我看下我几[呆],2025-07-08 08:38:49,0
Ros秋月白,考上了吗？,2025-07-08 08:27:57,0
扣牙的龙猫,我真的可以吗？万一不可以呢？我一直在想。,2025-07-08 07:12:22,0
鱼刺大王驾到,今天就考试啦[晕],2025-07-08 05:46:39,1
白马王子的后妈Wr,所有的悲伤请往边靠·,2025-07-08 02:32:40,1
吴可不可啊,分分秒秒黏一起挺窒息的,2025-07-08 02:05:31,1
醉她诚,加油,2025-07-08 00:47:10,1
-阿燕_,你说山高路远 人都是会变的 我说天南海北 只要你开口 去哪我都陪你走,2025-07-08 00:36:26,0
Ml林墨,10号学考加油[逢考必过],2025-07-08 00:01:50,1
Lithromantic_wyf,好听,2025-07-07 23:44:18,0
叁栎de小麦,加油,2025-07-07 23:05:11,0
7分钟久一点,那些你自以为走不出来的淤泥 迟早也会云淡风轻,2025-07-07 22:47:34,1
7分钟久一点,考上了吗,2025-07-07 22:46:04,0
肉饼_Mmm,我一定能上superA的 对吧,2025-07-07 22:45:05,0
LZJ-KG,明年考研上岸[拜],2025-07-07 22:42:33,0
酪饭团,我！,2025-07-07 22:22:01,0
ID又下雨-,期末考试加油,2025-07-07 21:54:58,1
Dulannnn-,好听好听,2025-07-07 21:26:42,0
百事可乐还是特仑苏,加油,2025-07-07 21:22:13,0
keenoz,加油，会有人看得到你的付出，会有人认可你的付出,2025-07-07 21:05:17,0
宅男校草,明天出分了 我一定可以考入我理想的高中,2025-07-07 20:58:02,1
萌就受着,加油,2025-07-07 20:27:35,0
我是阿雷呀哈哈哈,真的吗？,2025-07-07 20:09:26,0
vipincy,加油,2025-07-07 19:52:25,0
你一股臭小狗味,关关过,2025-07-07 19:52:13,0
Maroon_JC,sfc，想听你唱,2025-07-07 19:42:19,0
小陈吃盐,加油,2025-07-07 19:22:29,0
巴啦啦小魔仙变乌漆嘛黑,加油✊,2025-07-07 19:08:17,0
LeoRainn,"fl7.4听到咯
",2025-07-07 19:08:01,0
Coco_小雨,关关是难关 但我们关关过~  好绕耳的话听到就觉得很好 来搜原曲hh,2025-07-07 18:39:36,2
轻吻你眼角痣,关关是难关 但我们关关过,2025-07-07 18:31:58,3
小杜文案馆,谦卑的心是宛如野草小花的心，不取笑外面的世界，也不在意世界的嘲讽。 -- 林清玄,2025-07-07 17:53:31,1
7invo,中考上岸！,2025-07-07 17:28:23,0
清之qwq,期末上岸！！,2025-07-07 17:27:14,0
沈酥彤,一定可以的 加油,2025-07-07 17:10:23,0
沈酥彤,加油 一定可以的,2025-07-07 17:10:12,1
沈酥彤,加油,2025-07-07 17:09:57,0
沈酥彤,加油,2025-07-07 17:09:49,0
沈酥彤,加油,2025-07-07 17:09:38,0
zzzzzzzzz_NPlw,[哈哈],2025-07-07 16:55:20,0
是一诺a,关关难过我们关关过,2025-07-07 16:43:11,1
景鲤lililili,善言如水，暖意相随；善行似溪，绵延不息；善心若海，可纳百川。 ​,2025-07-07 16:34:04,1
同道疏途,加油,2025-07-07 16:12:58,0
穿梭在西海岸,你知道热狗在说唱圈什么身份吗？,2025-07-07 14:07:17,0
顾屿楠歌99,原来已经五年了，下半年九月份我要开始读研了[多多可怜]回头看看好像梦一场[多多可怜],2025-07-07 13:58:01,0
大傻子霖,[色],2025-07-07 13:41:08,0
闪现撞墙菠某人,前途,2025-07-07 13:28:45,0
海天一色8868,期末考完语文了，还有六科，加油![逢考必过][逢考必过][逢考必过][加油呀][加油呀][加油呀],2025-07-07 13:05:23,2
栖霞_9702,许愿NJU戏剧影视文学[逢考必过],2025-07-07 11:42:36,0
虎鲸JN,现在过得如何,2025-07-07 11:27:28,0
虎鲸JN,你已经七了 我也刚七哈哈哈,2025-07-07 11:27:14,0
鸡蛋饼杀手,选前途后悔一阵子，选她后悔一辈子,2025-07-07 10:46:41,0
爆炒胖齐,[西西发怒],2025-07-07 09:10:24,0
我不是方语婕,上了吗,2025-07-07 08:16:24,0
Nineeyee,加油,2025-07-07 07:56:10,0
wenli超乖,被人讨厌不是缺点，希望被人喜欢才是缺点。,2025-07-07 07:20:41,0
修音响的coffee师,7.4在鸟巢听到现场版的啦[亲亲],2025-07-07 06:32:14,3
莲雪寂,hi2025了你考上了吗[多多比耶],2025-07-07 04:04:09,0
续秋约,加油捏,2025-07-07 01:54:00,0
续秋约,不论结果如何，于你而言都是崭新的一个世界,2025-07-07 01:53:52,0
y愿爱无忧-,在实习 八个月没有工资 房租费生活费 真费钱[多多无语],2025-07-07 00:39:54,0
殉情的故事,槍殺玫瑰吻殺風月，嗜血的野性在灵魂深处叫嚣，嗤笑难隐晦涩讪然，瞻愉瞥去缩瞳戾颤睫，凝速提膝囷足矗立，叠覆交足扫至他侧腰挡击，敛眸傲气未敛戾劣，擒赤刃施力锤刺连颚颔，横撇独掌钳喉抵墙凿首，溅血满颊腥色淅沥满指滴染，掠刃复攥叠刺抵掰牙关扼止，单颦掀睫鎏颤眸闪邃赤劣，咧齿勾唇染疯锤碾靴,2025-07-07 00:30:04,0
爱玩沙包的小男孩huyue,[多多大笑],2025-07-07 00:21:19,0
-Tong_w,关关难过关关过，我一定要全部上岸！！！！！,2025-07-07 00:09:24,1
哈哈哈蜜瓜-开心版,明天科一稳过,2025-07-06 23:43:30,0
不吃魚_peov,明天查分一定上岸！！！🍀🍀,2025-07-06 23:29:47,0
不吃魚_peov,一定上岸🍀！,2025-07-06 23:28:46,0
A1Pepsi,虽然现在在专科，但明天开始我也要准备专升本了，我不想停留在专科，我想研究癌症的药，想救更多人的生命，所以一切一定会顺利 加油！！留到明年考试结束，一定会如愿！加油加油,2025-07-06 23:27:08,1
A1Pepsi,初中阶段学习成绩很差，后来中考2020年遇上疫情，本以为和高中无缘，结果碰巧听到JJ的“加油”和翻唱的“起风了”让我开启了极速学习模式，从倒数到班里前几，从连花钱都进不去的私立高中到公办实验班，过程中我只知道早上四点听一首加油一首起风了清醒，晚上十二点再听一遍，重复了五个月。,2025-07-06 23:23:46,1
嗄痛,中考超常发挥 中考上岸,2025-07-06 23:12:58,1
-Duull,一定会上岸！！！！！！！！！！！！,2025-07-06 23:12:06,2
莫扎特没有想,林俊杰，范玮琪，有生之年能不能听到狗哥和杰伦合作一首[鬼脸],2025-07-06 22:56:57,0
Onep612,还有一个小时六分钟查成绩，保佑我[拜][拜][拜],2025-07-06 22:54:35,1
LeMou-,所以的悲伤请往边靠[憨笑],2025-07-06 22:51:32,0
鸩羽惊鸿,加油加油！！！,2025-07-06 22:38:59,0
我亲爱的孤独_,不懂,2025-07-06 22:25:18,0
夏蓝澈,可以帮我用lxz取一个夏日ID吗,2025-07-06 21:07:07,0
敬山水jjj,中考一切顺利 上岸啊啊啊！,2025-07-06 20:40:54,0
月明在哪呢,啥,2025-07-06 20:28:46,0
烧宁,我一定会瘦到 75 的 加油(•̀ᴗ•́)و̑̑,2025-07-06 19:55:39,1
_渝渝渝子,专升本顺利,2025-07-06 19:52:44,0
水神泪,"1
",2025-07-06 19:37:34,0
小白white__,哥们成功了吧[可爱],2025-07-06 19:36:42,0
Mi丿孤雯,"大佬
",2025-07-06 19:06:05,0
樱Yuki_,考上了吗,2025-07-06 18:27:36,0
纠缠一辈子行不行啊,你是李商隐的第29道绝笔 谜底不过我爱你,2025-07-06 18:01:06,0
圣马力诺深海蓝前卫摇滚,"关关是难关 但我们关关过，
雨后天晴的阳光在天空闪闪烁。",2025-07-06 17:52:26,0
圣马力诺深海蓝前卫摇滚,我也想体验美食的快乐，但我就是不喜欢吃东西。,2025-07-06 17:49:27,0
把世界都种满香菜,尊嘟假嘟,2025-07-06 17:40:27,0
Volcano毛里求斯,加油兄弟们26一研为定,2025-07-06 17:22:38,2
梁衬,好好好都VIP柒了是吧,2025-07-06 17:18:06,0
自来卷公主,26年一定能一次上岸！,2025-07-06 16:54:45,0
我爱我润,接,2025-07-06 15:17:16,0
我爱我润,中考大捷,2025-07-06 15:17:07,0
我爱我润,那现在你得偿所愿了吗,2025-07-06 15:16:37,0
欣欣妹ye,记不清了 只知道20年爱听,2025-07-06 15:11:21,2
dianjixiaozi0823,[多多耍酷],2025-07-06 14:55:01,0
海天一色8868,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油,2025-07-06 14:14:58,0
Yoauio,泥泞的路才能踩出清晰的脚印,2025-07-06 13:19:16,2
小轶bb,加油,2025-07-06 13:09:06,0
萌由我主宰,之前校运会放的歌[强],2025-07-06 12:29:28,0
海天一色8868,所有的悲伤请往边靠,2025-07-06 11:54:58,0
海天一色8868,莫名其妙,2025-07-06 11:52:36,0
1-子非鱼,感谢你不失从头再来的勇气 加油 期待你明年的好消息[多多可怜],2025-07-06 11:51:52,0
1-子非鱼,加油,2025-07-06 11:50:55,0
芹菜-QCi,楼主考上心仪的大学了嘛,2025-07-06 10:15:51,0
Merlhcury,来咯 嘻嘻 柒咯！,2025-07-06 09:35:22,0
罗马斗兽场首席舞曲,关关难过关关过，没有什么能难倒我宏宏[鬼脸](除了数物化生),2025-07-06 09:31:20,0
wooigir,[多多调皮],2025-07-06 09:15:48,0
-快乐小狗HZL,我们一定都会越来越好的,2025-07-06 09:10:37,2
TTzzzg,不知道,2025-07-06 09:06:44,0
踢偏,签到签到签到签到签到签到签到签到签到签到签到签到签到签到签到签到,2025-07-06 08:35:01,0
Fiishhh_,2026 我要考上双一流一本！,2025-07-06 05:29:09,0
下了绵绵雪,".
",2025-07-06 05:13:44,0
看到我_請叫我去學習,想做勇敢无畏的人,2025-07-06 02:49:41,0
无可叙,法考加油！,2025-07-06 01:48:39,0
没别意思,2026我要考公上岸啊啊啊啊啊[发怒],2025-07-06 01:48:18,2
你真无趣-_-,VIP的嘛有的,2025-07-06 01:26:11,0
ahhhh-,现在都不显示等级了吗,2025-07-06 00:53:29,0
丸子大王6666,我今天一定会上岸的,2025-07-06 00:53:22,1
鱼时樾,一旦开始了，就已经成了未完成的执念。,2025-07-06 00:36:26,0
doki_uwu,距离2026年高考还有336天 我一定能考上理想的大学！高考加油！,2025-07-06 00:35:38,1
qwaszxd111,发现你爱的人到处跑～,2025-07-05 23:52:21,2
LarryLv,热狗不唱这首歌能更火,2025-07-05 23:38:19,0
然_晚睡,等会12点就查分了 希望我能考好一点,2025-07-05 23:33:27,0
忧郁的湖北人777,祝自己被理想的学校录取🍀,2025-07-05 23:24:34,3
可颂爱吃鱼,[大笑],2025-07-05 22:24:47,0
_熠之殤,真的很意外4号能有这首歌！！！,2025-07-05 22:07:36,3
_熠之殤,真的很意外！！！！特别惊喜,2025-07-05 22:06:27,0
迷人的苏打水,2025/7/5报道[多多耍酷][多多耍酷][多多耍酷],2025-07-05 21:46:13,0
lZzz1125,但是加油,2025-07-05 21:14:30,0
lZzz1125,这么晚啊,2025-07-05 21:13:45,0
lZzz1125,考上了吗？,2025-07-05 21:12:31,0
皮卡多又多,"哈哈哈
",2025-07-05 21:05:15,0
鄭zzzzjt,"中考完了考上了理想高中~
",2025-07-05 20:44:44,0
养只婗,关关是难关 但我们关关过,2025-07-05 20:06:20,2
饭桶花园牛大爷,哈咯 素未谋面的网友 今天晚上听这首刚好看到你的评论 不知道你考上了没有呀？,2025-07-05 19:46:05,0
noend191,好听,2025-07-05 19:29:56,0
雾漫眠眠,八年的梦想，高考失利，强基失败，一个月了还没走出阴影。如何呢？研究生还会再战厦大！,2025-07-05 19:21:01,0
泡芙大强,加油！,2025-07-05 18:49:21,0
蜉蝣ink,关关难过”那里我以为是海洋bo的歌拼接的,2025-07-05 18:45:20,0
Ericlowcc,加油,2025-07-05 17:27:23,0
猫咖吹东海岸蓝调,加油！ 我一定会坚持下去 我一定会成功 ,2025-07-05 17:26:42,1
在我的世界我开心最重要,2026复读如愿以偿,2025-07-05 17:03:36,1
霏霏MK11,20250704鸟巢在现场,2025-07-05 17:02:34,2
iiuo3u,幸福就在下一个转角,2025-07-05 17:01:35,0
雯雯-si,我一定会考上一中的[星星][星星][星星],2025-07-05 16:39:07,0
锁骨泪痣,呜呜呜,2025-07-05 16:33:49,0
土豆做乜野,关关难过关关过,2025-07-05 16:32:14,1
Go-to-see周公,恭喜,2025-07-05 16:28:54,0
予珉,关关是难关 但我们关关过,2025-07-05 16:24:37,1
Auroraaa-_-,2026年我一定会考上福清一中的！！！！！！,2025-07-05 16:13:37,0
我是图图小淘气Ying,2025年7.4在鸟巢点歌环节听到了加油！超级开心 虽然这天很热很热 汗和泪都是混着留下来的[哀伤]但是位置好近！超绝横开位！,2025-07-05 16:13:15,2
佳人只是如梦,考上了没[开心],2025-07-05 16:06:58,0
听歌的阿走,okヾ(✿ﾟ▽ﾟ)ノ,2025-07-05 15:45:34,0
脸红什么呐_w,祝我抢票 成功,2025-07-05 15:34:42,1
gikst,怎么样啦！！！,2025-07-05 15:20:01,0
狗宝汤元,我也不喜欢那段rapㅠㅠ,2025-07-05 15:02:00,0
iiMagnolia,关关过！,2025-07-05 14:22:11,0
雾_川,到点了,2025-07-05 14:12:54,0
雾_川,加油！,2025-07-05 14:12:24,0
呆兔杏,喜欢你的眼睛，爱流泪也没关系,2025-07-05 12:28:21,0
写字台上的玫瑰,3年过去了，您还觉得值得吗？,2025-07-05 12:28:03,1
DCL-Y,我们已经战过去了！！[憨笑][憨笑],2025-07-05 12:13:34,0
旋97,地生会考已过关！,2025-07-05 11:50:03,0
汐汐溪镇,加油！,2025-07-05 11:43:49,0
汐汐溪镇,你们都变成柒啦,2025-07-05 11:43:24,0
_初欢选手,关关是难关但我们关关过！,2025-07-05 11:33:19,0
Dsioue,看到就提醒一下 我怕我太久不听这首歌,2025-07-05 09:50:14,2
脑袋困掉了-C见过薛之谦版,早上好,2025-07-05 09:29:46,1
_FFF__N,加不动油了怎么办，这道坎真的跨不过去了,2025-07-05 08:58:04,1
醉她诚,加油,2025-07-05 08:29:30,0
Doreen呓,关关难过关关过,2025-07-05 08:00:37,0
夜聆江南春,26年中考加油呐,2025-07-05 07:55:02,0
夜聆江南春,不要伤心宝子 关关是难关 但我们关关过,2025-07-05 07:54:27,0
夜聆江南春,加油呀,2025-07-05 07:50:23,0
Nanami-i,每次非常非常难过遇到人生最低谷的时候 这首歌都给我力量的感觉 让我觉得一切都没什么 还可以过去的,2025-07-05 07:16:10,1
红豆炖冰,ll,2025-07-05 07:06:04,0
闷骚小野驴_,现在的你都7了，还好吗,2025-07-05 07:05:02,0
z会好好的,考的怎么样？,2025-07-05 04:16:39,0
boloice,我真的听到了,2025-07-05 02:27:43,0
总被爱筛选,4号唱这个啦,2025-07-05 01:52:10,3
关优秀-,九点的考试考的全会蒙的全对！这次我要成为第一☝🏻！[可爱],2025-07-05 01:38:26,1
LarryLv,"热歌直接降低了这首歌好听度
",2025-07-05 01:25:10,0
是安安小朋友,教资上岸吧！！！,2025-07-05 01:12:24,0
小u运,地生中考19号查分一定一定要有超级爆炸无敌好的成绩！[流泪],2025-07-05 01:09:03,0
小雨吟敘,1点就中考查分了希望能上十二中被第一志愿录取[拜][拜][拜],2025-07-05 00:49:13,0
Small-fireworks,关关是难关 但我们关关过,2025-07-05 00:13:09,0
深秋的雨Y,中考上岸！！！！！！！！！！！！！！！！！！！！！！！！！,2025-07-05 00:06:45,1
热光,《由你选择》是不是？你听听看,2025-07-04 23:54:17,0
给我一片睡睡丸,毕业后走的每一步都好难走,2025-07-04 23:48:55,0
-_好好睡觉-_-,感谢7.4日 点歌！！！,2025-07-04 23:30:50,1
情歌小莹,我的朋友我将会是你永远的后盾 我会让你知道这个世界上不能没有朋友,2025-07-04 23:20:41,0
相聚西街晚,关关是难关 但我们关关过,2025-07-04 23:12:41,0
情歌小莹,"我将会是你永远的后盾
我会让你知道这个世界上不能没有朋友",2025-07-04 23:11:42,1
情歌小莹,我将会是你永远的后盾 我会让你知道这个世界上不能没有朋友,2025-07-04 23:09:51,1
